fichier;annee;nombre;type;contexte
4_cri_1972-1973-ordinaire1_063.txt;1972;5547;place;"tion, ont été prises en faveur des migrants : information, formation et sélection professionnelle ; ASSEMBLEE NATIONALE — SEANCE DU 21 NOVEMBRE 1972 5547 placements et implantations à caractère familial avec prêts d'établissement ; secours et aides financières ; prise en charge des frais de voyage."
6_cri_1978-1979-ordinaire1_106.txt;1978;4000;lit;gasoil de 23 centimes . Le règlement à l 'achat d'une livraison unitaire contractuelle de 30000 litres (répartition moyenne : 2100D litres de super. 4000 litres d 'essence et 5 000 litres de gasoil) entraînera un financement supplé- mentaire de 8800 francs . Pour une moyenne mensuelle de 100 000 li
4_cri_1969-1970-ordinaire1_033.txt;1969;3300;places;istrats sont souvent placés devant des cas de cons- cience douloureux, le seul placement possible pour le jeune délinquant étant la prison. Il existe 3300 places d'accueil en internat ou en foyer et 1.800 éducateurs pour environ 50 .000 mineurs jugés. D'ici à la fin de 1971, on disposera de 4 .880 p
4_cri_1969-1970-ordinaire1_033.txt;1969;3300;places;inférieurs de moitié aux prévisions. Quant aux employés de l'éducation surveillée, leur nombre est dramatiquement insuffisant, au point que, sur les 3300 places d'internat ou de foyer existantes, 924, soit plus du quart, sont inutilisées faute de personnel . Quelque vingt-cinq établissements foncti
7_cri_1984-1985-ordinaire1_080.txt;1984;2500;logements;touchant environ 8(100 familles en milieu u rbain et plus de 311x1(1 à 4 ive) familles en milieu rur al. Les besoins annuels de la Guadeloupe sont de 2500 logements ri'pnlis en 1 200 au titre de la reso'pti,t de l'habitat insalubre pour une hypothèse de résorp- tion sur dis ans et (le- 1300 au titre
6_cri_1978-1979-ordinaire1_106.txt;1978;1978;foyers;"rsonnes qui vivent maritalement avec un assuré social. Ce retard cause une gène dans de nombreux 9792 ASSEMBLEE NATIONALE — 3"" SEANCE DU 20 DECEMBRE 1978 foyers et alourdit les prises en charge des bureaux d'aide sociale. En conséquence, il lui demande de bien vouloir examiner la possi- bilité d'un"
5_cri_1975-1976-ordinaire1_038.txt;1975;1975;Place;e aux organismes dont il assure la tutelle d'éviter une nouvelle erreur technique et financière . 7652 ASSEMBLEE NATIONALE — 3' SEANCE DU 30 OCTOBRE 1975 Placements immobiliers (véracité et légalité d'une publicité d 'agent immobilier promettant 41 p. 100 de plus-raine immédiate). 23739. — 31 octob
5_cri_1973-1974-ordinaire1_014.txt;1973;1973;Foyers;uellement des réformes pro• fondes du régime autonome d'assurance invalidité décès des artisans . 4394 ASSEMBLEE NATIONALE — 2' SEANCE DU 12 OCTOBRE 1973 Foyers de jeunes travailleurs (budget de 1974). 2613. — 21 juin 1973 . — M. Belo rappelle à M. le ministre de la santé publique et de la sécurité
8_cri_1986-1987-ordinaire1_087.txt;1986;1500;places;avez très bien. En ce qui concerne plus particulièrement les services de soins à domicile, je vous indique qu'en 1986 et pour les huit derniers mois, 1500 places supplémentaires ont pu être créées . Par ailleurs, pour favoriser le maintien à domicile . l'Assem- blée nationale vient d'adopter un amen
5_qst_5-qst-1974-04-27.txt;1974;996;places;"; au niveau du second cycle : 20 107 élèves. Au 1"" janvier 1973, il y avait à la disposition de ces élèves : 48120 places dans le premier cycle ; 21 996 places dans le second cycle. Le programme d 'équipement pour 1974 prévoit la réali- sation de 3 200 places supplémentaires de premier cycle . Par"
